DateTime,Symbol,O1_Open,C3_Close,Diff,Diff_%,Direction
2026-07-15 10:47:58,NSE-NIFTY-21Jul26-24250-CE,128.8,128.05,-0.75,-0.5823,PE
2026-07-15 10:48:43,NSE-NIFTY-21Jul26-24250-CE,130.15,126.65,-3.5,-2.6892,PE
2026-07-15 10:49:27,NSE-NIFTY-21Jul26-24100-PE,113.0,113.4,0.4,0.354,PE
2026-07-15 10:50:11,NSE-NIFTY-21Jul26-24150-PE,133.25,134.5,1.25,0.9381,PE
2026-07-15 10:52:12,NSE-NIFTY-21Jul26-24150-PE,133.9,139.2,5.3,3.9582,PE
2026-07-15 10:52:57,NSE-NIFTY-21Jul26-24200-CE,152.4,149.55,-2.85,-1.8701,PE
2026-07-15 10:53:40,NSE-NIFTY-21Jul26-24200-CE,150.75,152.5,1.75,1.1609,CE
2026-07-15 10:57:06,NSE-NIFTY-21Jul26-24150-PE,136.0,137.5,1.5,1.1029,PE
2026-07-15 10:58:54,NSE-NIFTY-21Jul26-24200-CE,147.7,144.55,-3.15,-2.1327,PE
2026-07-15 11:01:40,NSE-NIFTY-21Jul26-24200-CE,143.5,145.05,1.55,1.0801,CE
2026-07-15 11:04:05,NSE-NIFTY-21Jul26-24200-CE,144.0,142.35,-1.65,-1.1458,PE
2026-07-15 11:05:31,NSE-NIFTY-21Jul26-24200-CE,143.45,144.25,0.8,0.5577,CE
2026-07-15 11:07:38,NSE-NIFTY-21Jul26-24150-PE,139.8,138.55,-1.25,-0.8941,CE
2026-07-15 11:09:05,NSE-NIFTY-21Jul26-24200-CE,142.4,146.9,4.5,3.1601,CE
2026-07-15 11:10:30,NSE-NIFTY-21Jul26-24200-CE,145.95,149.45,3.5,2.3981,CE
2026-07-15 11:12:27,NSE-NIFTY-21Jul26-24100-PE,115.55,120.55,5.0,4.3271,PE
2026-07-15 11:13:11,NSE-NIFTY-21Jul26-24050-PE,98.15,104.0,5.85,5.9603,PE
2026-07-15 11:13:54,NSE-NIFTY-21Jul26-24250-CE,123.7,112.75,-10.95,-8.8521,PE
2026-07-15 11:15:18,NSE-NIFTY-21Jul26-24150-PE,143.75,147.2,3.45,2.4,PE
